,ra,dec,g,r,i,z
94,109.225745626592,38.3828398088652,18.8552,18.5369,18.44781,18.42371
95,109.226391506647,38.3300454762746,19.67486,18.98823,18.69927,18.59904
96,109.226393268468,38.3300490493618,19.67646,18.98981,18.68751,18.61254
97,109.228174626276,38.3963711389371,16.72298,16.07908,15.82769,15.76009
98,109.228174626282,38.3963711389369,16.72298,16.07908,15.82769,15.76009
99,109.22818190232,38.3963778829961,16.72305,16.07935,15.82802,15.76129
100,109.229172948203,38.2939532553593,18.89361,17.76929,17.33446,17.0296
101,109.229173337613,38.2939562526202,18.8947,17.77018,17.33507,17.0336
102,109.229179985966,38.3716984127989,17.38858,16.35261,15.9691,15.76023
103,109.22918687048,38.3717047642173,17.38851,16.35356,15.96926,15.76025
104,109.229517748836,38.3916909695859,19.83539,18.63346,18.11623,17.85247
105,109.229524870924,38.3916975932571,19.83734,18.63503,18.11864,17.86481
106,109.230456928583,38.3798781012404,16.75759,16.339,16.19495,16.15874
107,109.23046385364,38.3798845333586,16.75734,16.33891,16.19496,16.15937
108,109.234305543913,38.3159091318403,14.97709,14.58775,14.52317,14.42249
109,109.23430554671,38.315909131728,14.97709,14.58775,14.52407,14.42249
110,109.23430655516,38.3159123714689,14.97713,14.5878,14.51526,14.42274
111,109.234680088045,38.3918620187126,16.42259,15.79561,15.5289,15.43706
112,109.234680088045,38.3918620187126,16.42259,15.79561,15.5289,15.43706
113,109.234687232367,38.3918686525693,16.42261,15.79572,15.52917,15.43794
114,109.236163587943,38.3288570442163,13.76588,13.38242,13.26112,13.25195
115,109.236163856174,38.3288570950248,13.7669,13.44095,13.2614,13.25195
116,109.236164268897,38.3288499992419,13.7659,13.3825,13.26585,13.25205
117,109.236164294019,38.328849976579,13.76582,13.3825,13.26586,13.25197
118,109.238720936835,38.3128277843532,18.73807,18.42864,18.29272,18.2598
119,109.238721803041,38.312830882922,18.73836,18.42999,18.28706,18.26269
120,109.238760110109,38.3995037662491,17.13528,15.76298,15.10586,14.77244
121,109.238767388653,38.3995105128183,17.13548,15.76316,15.10601,14.77292
122,109.239863723053,38.3552271941548,16.18104,15.93027,15.85429,15.86131
123,109.239863740757,38.3552271952874,16.18068,15.92972,15.85329,15.59286
